Beach_Code,Original_Beach_Name,API_Beach_Name,rating,user_ratings_total,Search_lat,Search_lng,lat,lon
72,San Bennato,Spiaggia di Cavo,4.3,1426,4285821416.0,1042399898.0,42.85821416,10.42399898
39,San Cataldo,Spiaggia di San Cataldo Terrasini,4.0,512,3808694894.0,1307658434.0,38.08694894,13.07658434
122,San Leonardo di Cutro,Spiaggia di San Leonardo di Cutro,4.5,31,38.9388,16.96251512,3.89388e-07,1.696251512e-07
148,San Michele di Pagana,Spiaggia di San Michele di Pagana,4.3,427,4434059194.0,9224644661.0,44.34059194,92.24644661
116,Scaletto Fornaci,Spiaggia delle Fornaci,4.3,102,4429480637.0,8462841511.0,44.29480637,84.62841511
113,Scalo Maestro Marettimo,Scalo Maestro,4.7,47,3799012336.0,1206098914.0,37.99012336,12.06098914
73,Scoglio Lungo,Spiaggia Scoglio Lungo,4.4,245,4083811703.0,8408904299.0,40.83811703,84.08904299
25,Spiaggia Calatabiano foce Alcantara,Spiaggia le rocce nere,4.3,70,3780667816.0,1525713015.0,37.80667816,15.25713015
76,Spiaggia Capitan Antonio - Santa Caterina dello Ionio (CZ),Spiaggia Santa Caterina dello Ionio,4.4,13,3852950957.0,1657222938.0,38.52950957,16.57222938
138,Spiaggia Capo D'armi,Capo dell'Armi,4.4,7,3795160386.0,1568633207.0,37.95160386,15.68633207
69,spiaggia Cintioni di San Vito marina,Marina Di San Vito Chietino,4.3,3144,4231350224.0,1443994045.0,42.31350224,14.43994045
75,Spiaggia della Madonnina del Porto di Pescara,Area protetta nidificazione Fratino WWF,4.9,7,4246765163.0,1422445714.0,42.46765163,14.22445714
156,Spiaggia delle Cesine,"Spiaggia de ""Le Cesine""",3.7,43,4035566177.0,1834540844.0,40.35566177,18.34540844
135,Spiaggia delle Conchiglie,Spiaggia delle Conchiglie,4.4,404,4071662069.0,1779453099.0,40.71662069,17.79453099
130,SPIAGGIA DELLO SPIAZZO DEL CASTELLO ODESCALCHI- SANTA MARINELLA,Antemurale Porticciolo Santa Marinella,5.0,2,4203397621.0,1186920226.0,42.03397621,11.86920226
80,Spiaggia del Muraglione,Spiaggia libera Viareggio,4.2,1328,43.85592,10.23831,4.385592e-07,1.023831e-07
90,Spiaggia del Sarello,Spiaggia del Sarello,3.9,123,3810767246.0,1350486767.0,38.10767246,13.50486767
79,Spiaggia del Seggio Area Nord,Spiaggia Libera Dog Beach,4.5,52,43.19304,10.53628,4.3193040000000005e-07,1.0536279999999999e-07
132,Spiaggia di Briatico,Spiaggia Briatico,4.5,82,3872621131.0,1602392043.0,38.72621131,16.02392043
92,Spiaggia di Capaci,Spiaggia Capaci,4.0,378,3817969411.0,1322758842.0,38.17969411,13.22758842
152,Spiaggia di Capo Suvero,Spiaggia libera Caposuvero,,0,3895936874.0,1615298152.0,38.95936874,16.15298152
160,Spiaggia di Castellammare di Stabia,Spiaggia dei Ciottoli Piatti,,0,14.47893,40.70472,1.447893e-07,4.0704720000000004e-07
45,Spiaggia di Castrocucco di Maratea,Spiaggia di Castrocucco,4.2,343,39.92866,15.75446,3.992866e-07,1.575446e-07
65,Spiaggia di Fiorenzuola di Focara (PU),Spiaggia di Fiorenzuola di Focara,4.5,873,4395084815.0,1282954216.0,43.95084815,12.82954216
